Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Honda Activa 6G,2024,"Thane, Maharashtra",80000,Yes
BMW G 310 R,2022,"Sriperumbudur, Kanchipuram, Tamil Nadu",240000,Yes
Jawa 42 Dual Channel ABS Orion Red,2020,"Guindy, Chennai, Tamil Nadu",110000,Yes
Bajaj Pulsar NS 200 BS6,2022,"Nellore, Andhra Pradesh",140000,Yes
Bajaj Dominar 400 ABS BS6,2017,"Rohini, North West Delhi, Delhi",90000,Yes
Honda Hness Anniversary Edition,2022,"Bangalore, Karnataka",190000,Yes
Ampere Reo,2020,"Guindy, Chennai, Tamil Nadu",30000,Yes
Royal Enfield Meteor 350 Stellar 2025,2023,"Nagpur, Maharashtra",214000,Yes
,,Maharashtra,75000,Yes
,,"Salem, Tamil Nadu",120000,Yes
Royal Enfield Classic 350,2013,"Dhariwal, Gurdaspur, Punjab",100000,Yes
Jawa 42 Dual Channel ABS Cosmic Carbon,2021,"Muzaffarpur, Bihar",175000,Yes
Royal Enfield Thunderbird X 500,2019,"Saidabad, Hyderabad, Telangana",200000,Yes
Royal Enfield Meteor 350 Stellar,2020,"West Delhi, Delhi",175000,Yes
Royal Enfield Interceptor 650 Twin,2020,"Mulund East, Mumbai, Maharashtra",250000,Yes
Suzuki Access 125,2019,,,Yes
TVS Apache RR 310,2022,"Perambur, Chennai, Tamil Nadu",160000,Yes
Yamaha FZ25,2018,"Andheri East, Mumbai, Maharashtra",90000,Yes
Bajaj Discover 125M,2014,"Sion, Mumbai, Maharashtra",27000,Yes
TVS Apache RTR 160,2019,"Danapur, Patna, Bihar",65000,Yes
,,"Varanasi, Uttar Pradesh",320000,Yes
Hero Xtreme 160R 2024 Edition,2024,"Nampally, Hyderabad, Telangana",145000,Yes
Joy e-bike  Wolf,2024,"Pune, Maharashtra",52000,Yes
Jawa 42 Dual Channel ABS Cosmic Carbon,2019,"Chembur, Mumbai, Maharashtra",95000,Yes
Honda Activa 5G,2019,"Maharajganj, Uttar Pradesh",45000,Yes
TVS Star City Plus,2015,,,Yes
Ola S1X,2024,,,Yes
Honda Activa,2014,"Berasia, Bhopal, Madhya Pradesh",28000,Yes
KTM RC 200,2020,Maharashtra,120000,Yes
TVS Apache RTR 200 4V,2016,"Rajajinagar, Bangalore, Karnataka",45000,Yes
Hero XPulse 200T,2021,"Belgaum, Karnataka",90000,Yes
Royal Enfield Bullet Standard 350,2024,"Muradnagar, Ghaziabad, Uttar Pradesh",210000,Yes
Ather 450 Plus,2021,"Chennai, Tamil Nadu",80000,Yes
Royal Enfield Classic 350,2014,Haryana,90000,Yes
Suzuki Access 125,2019,"Ahmedabad, Gujarat",35000,Yes
Hero CBZ Xtreme,2012,"Mughalsarai, Chandauli, Uttar Pradesh",25000,Yes
Hero Maestro Edge,2016,"Garividi, Vizianagaram, Andhra Pradesh",35000,Yes
Bajaj Pulsar 150,2011,"Navi Mumbai, Maharashtra",28000,Yes
TVS Sport,2019,"Central Delhi, Delhi",40000,Yes
TVS Apache RTR 180,2018,"Katihar, Bihar",55000,Yes
Royal Enfield Interceptor,2022,"Sion, Mumbai, Maharashtra",350000,Yes
Ola S1 Pro,2022,"Ranchi, Jharkhand",80000,Yes
Royal Enfield Meteor 350,2023,"Fatehgarh Sahib, Punjab",190000,Yes
Vida V1 Pro,2023,"Bangalore, Karnataka",70000,Yes
Triumph Scrambler 400 X,2023,"Jayanagar, Bangalore, Karnataka",340000,Yes
Bajaj Discover 100T,2013,"Pimpri-Chinchwad, Maharashtra",35000,Yes
Hero Glamour Xtec,2023,"Ernakulam, Kerala",80000,Yes
Yamaha FZ FI V2,2017,"Defence Colony, South East Delhi, Delhi",40000,Yes
Honda Activa 4G,2018,"Pimpri-Chinchwad, Maharashtra",50000,Yes
Honda 2023 Activa 125 Drum,2021,Maharashtra,59000,Yes
Ola S1 Pro,2022,"Yelahanka, Bangalore, Karnataka",90000,Yes
TVS NTORQ 125,2018,"Ambala, Haryana",25000,Yes
Ola S1 Pro,2022,"Bangalore, Karnataka",70000,Yes
Bajaj Pulsar NS 160,2018,"Borivali, Mumbai, Maharashtra",49999,Yes
TVS NTORQ 125 Race Edition,2020,"Salboni, Paschim Medinipur, West Bengal",70000,Yes
BSA Gold Star 650,2025,"Kolkata, West Bengal",400000,Yes
TVS Apache RTR 200 4V ABS,2021,"Indore, Madhya Pradesh",90000,Yes
Aprilia RS 457,2025,"New Delhi, Delhi",475000,Yes
Kawasaki Ninja 300 BS6,2019,,,Yes
Honda CB350RS,2022,"Thane, Maharashtra",165000,Yes
TVS NTORQ 125 Race Edition BS6,2020,"Pollachi, Coimbatore, Tamil Nadu",80000,Yes
Bajaj Discover 100T,2013,"Goregaon, Mumbai, Maharashtra",17000,Yes
TVS Apache RTR 200 4V,2017,"Thane, Maharashtra",62000,Yes
TVS Jupiter,2018,"Pune, Maharashtra",50000,Yes
Honda CB Unicorn,2024,"Badami, Bagalkot, Karnataka",135000,Yes
Royal Enfield Classic Gunmetal Grey,2017,"Pune, Maharashtra",125000,Yes
Bajaj Pulsar 180,2013,"Pune, Maharashtra",32000,Yes
Royal Enfield Hunter 350 2025,2025,"KGF, Kolar, Karnataka",165000,Yes
Hero Electric Optima ER,2022,"Pune, Maharashtra",55000,Yes
TVS Phoenix,2013,"Banashankari, Bangalore, Karnataka",25000,Yes
Ola S1 Pro,2025,"Pune, Maharashtra",120000,Yes
Bajaj Pulsar 150 DTSi,2013,"Bangalore, Karnataka",32000,Yes
Bajaj V15,2016,"Jaipur, Rajasthan",35000,Yes
TVS Jupiter BS6,2024,"Ghaziabad, Uttar Pradesh",70000,Yes
Bajaj CT110X,2023,"Mettur, Salem, Tamil Nadu",53000,Yes
Bajaj Avenger Street 160,2019,"Amberpet, Hyderabad, Telangana",70000,Yes
Yamaha FZ-S FI V2,2018,"Whitefield, Bangalore, Karnataka",55000,Yes
Yamaha R15M,2022,"Chennai, Tamil Nadu",149000,Yes
Hero Splendor Plus,2006,"Pune, Maharashtra",20000,Yes
Royal Enfield Himalayan 2021,2021,Tamil Nadu,180000,Yes
Royal Enfield Himalayan 450,2017,"Gorakhpur, Uttar Pradesh",100000,Yes
Hero Splendor Plus,2024,"Jaipur, Rajasthan",69000,Yes
Royal Enfield Thunderbird 500,2016,"Bangalore, Karnataka",110000,Yes
Harley Davidson Street 750,2015,"Pune, Maharashtra",255000,Yes
Bajaj Avenger Street 220,2016,"Ernakulam, Kerala",38000,Yes
Triumph Speed T4,2025,"Secunderabad, Hyderabad, Telangana",245000,Yes
Ather 450X,2022,"Ujjain, Madhya Pradesh",80000,Yes
Hero Karizma XMR,2024,"Saharanpur, Uttar Pradesh",130000,Yes
,,,,Yes
Honda CB Unicorn,2017,"KR Puram, Bangalore, Karnataka",50000,Yes
Jawa 42 FJ,2024,"Pune, Maharashtra",225000,Yes
Royal Enfield Thunderbird 350,2017,"Banashankari, Bangalore, Karnataka",100000,Yes
Harley Davidson Iron 883,2014,"Pune, Maharashtra",425000,Yes
Honda SP125,2022,"Jaipur, Rajasthan",68000,Yes
Suzuki Access 125 BS6,2022,"Egmore, Chennai, Tamil Nadu",68000,Yes
BGauss B8 Lithium Ion,2021,"Secunderabad, Hyderabad, Telangana",50000,Yes
Ola S1,2022,"Hyderabad, Telangana",90000,Yes
KTM RC 390 GP,2023,"Paravur, Ernakulam, Kerala",340000,Yes
Royal Enfield Classic 500,2016,"Gurgaon, Haryana",70000,Yes
Hero Passion Pro,2010,"Sanganer, Jaipur, Rajasthan",13000,Yes
Bajaj Pulsar NS125 2022,2022,"Hyderabad, Telangana",75000,Yes
Yamaha FZ-S FI V2,2018,"Hyderabad, Telangana",59000,Yes
Royal Enfield Classic Signals Airborne Blue,2019,"Yaripora, Kulgam, Jammu Kashmir",118000,Yes
Hero XPulse 200 BS6,2021,"Palayamkottai, Tirunelveli, Tamil Nadu",85000,Yes
Ola S1 Pro Gen2,2024,"Bangalore, Karnataka",90000,Yes
Ampere Magnus Ex,2023,"KR Puram, Bangalore, Karnataka",50000,Yes
Bajaj Avenger Street 150,2016,Haryana,45000,Yes
KTM RC 125,2021,"Chauri Chaura, Gorakhpur, Uttar Pradesh",115000,Yes
Yamaha FZS 25,2017,"Dadar, Mumbai, Maharashtra",65000,Yes
Mahindra Gusto,2016,"Ghaziabad, Uttar Pradesh",27000,Yes
Honda CB Unicorn 160,2015,"Wakad, Pune, Maharashtra",50000,Yes
Jawa Jawa BS6,2020,"Amritsar, Punjab",150000,Yes
Hero Maestro Edge 125,2020,"Hinjewadi, Pune, Maharashtra",45000,Yes
Yamaha FZ-X,2023,"Gorakhpur, Uttar Pradesh",100000,Yes
TVS Apache RTR 160,2022,"Bhopal, Madhya Pradesh",90000,Yes
Royal Enfield Thunderbird 350,2013,"New Delhi, Delhi",30000,Yes
TVS Apache RTR 160,2014,"Jalna, Maharashtra",70000,Yes
Bajaj Pulsar NS 160 BS6,2020,"Bhopal, Madhya Pradesh",100000,Yes
Honda CB Unicorn,2020,"Mulund, Mumbai, Maharashtra",65000,Yes
Ola S1 Pro Gen2,2024,"Ameerpet, Hyderabad, Telangana",125000,Yes
Royal Enfield Thunderbird 350,2013,"Lucknow, Uttar Pradesh",70000,Yes
,,"Giridih, Jharkhand",51000,Yes
Yamaha FZ-X,2021,"Bhopal, Madhya Pradesh",90000,Yes
Jawa forty two,2021,"Allahabad, Uttar Pradesh",150000,Yes
Yamaha Fazer,2013,"Ratnagiri, Maharashtra",37000,Yes
Ola S1 Pro,2022,,,Yes
TVS Jupiter,2021,"Pune, Maharashtra",60000,Yes
Oreva Alish,2025,"Gandhinagar, Gujarat",40000,Yes
Yamaha FZ-S FI V2,2015,"HSR Layout, Bangalore, Karnataka",38000,Yes
Royal Enfield Thunderbird 350,2017,"Ghaziabad, Uttar Pradesh",120000,Yes
Bajaj Avenger Street 160 BS6,2020,"Berhampore, Murshidabad, West Bengal",70000,Yes
Yamaha R15M,2022,"Guntur, Andhra Pradesh",160000,Yes
Royal Enfield Bullet Electra Twinspark,2017,"Borivali, Mumbai, Maharashtra",130000,Yes
Honda Livo Disc,2020,"Bareilly, Uttar Pradesh",55000,Yes
Bajaj Pulsar N160 Dual Channel ABS,2024,"Vijayawada, Andhra Pradesh",120000,Yes
Aprilia Tuono 457,2025,"Pondicherry, Pondicherry",440000,Yes
Honda Activa,2011,"Electronic City, Bangalore, Karnataka",20000,Yes
Royal Enfield Bullet Standard 350,2021,"Ghatampur, Kanpur Nagar, Uttar Pradesh",150000,Yes
TVS Sport BS6,2025,"South East Delhi, Delhi",65000,Yes
Benelli Imperiale 400 BS6,2021,"Vasai-Virar, Palghar, Maharashtra",170000,Yes
Yamaha YZF R15 V3 BS6,2020,"Hyderabad, Telangana",115000,Yes
Royal Enfield Shotgun 650,2024,"Ahmedabad, Gujarat",370000,Yes
Suzuki V-Strom 250,2023,"Manesar, Gurgaon, Haryana",230000,Yes
Yamaha FZ-S,2011,"Mumbai, Maharashtra",20000,Yes
Hero Glamour Xtec,2023,"New Delhi, Delhi",48000,Yes
Bajaj Discover 100,2011,"Indore, Madhya Pradesh",22000,Yes
Honda CB Hornet 160R,2017,"Kolkata, West Bengal",80000,Yes
Vespa VXL 150,2021,"Sholinganallur, Chennai, Tamil Nadu",80000,Yes
Bajaj Pulsar 220F,2014,"Bhopal, Madhya Pradesh",70000,Yes
Honda CB Unicorn 160,2017,"Malad, Mumbai, Maharashtra",45000,Yes
Bajaj Avenger Cruise 220 BS6,2018,"Hinjewadi, Pune, Maharashtra",75000,Yes
Bajaj Pulsar 220F,2016,"Navi Mumbai, Maharashtra",40000,Yes
Honda CB350 DLX,2023,"Bangalore, Karnataka",210000,Yes
Hero Glamour 125 Disc,2017,"Hyderabad, Telangana",30000,Yes
Royal Enfield Classic 350,2015,"Greater Noida, Uttar Pradesh",70000,Yes
Yamaha Fazer,2011,"Sarjapur Road, Bangalore, Karnataka",25000,Yes
Ola S1,2023,"Jamshedpur, Jharkhand",65000,Yes
Bajaj Avenger Cruise 220 BS6,2021,"North Delhi, Delhi",110000,Yes
TVS Apache RR 310 BTO,2022,"Kolhapur, Maharashtra",225000,Yes
Mahindra Duro DZ,2010,,,Yes
Hero Super Splendor BS6,2020,"Kalyan, Thane, Maharashtra",55000,Yes
Yamaha Fazer FI V2,2015,"Chandrapur, Maharashtra",55000,Yes
TVS Apache RTR 310,2024,"Mysore, Karnataka",335000,Yes
Hero Electric Optima HX Dual Battery,2021,"Patna, Bihar",45000,Yes
TVS Star City Plus,2021,"North West Delhi, Delhi",45000,Yes
Suzuki Gixxer 150,2020,"Mulund West, Mumbai, Maharashtra",98000,Yes
Bajaj Avenger Cruise 220,2010,"Pune, Maharashtra",25000,Yes
Bajaj Avenger Street 220,2019,"Bargarh, Orissa",73000,Yes
Royal Enfield Super Meteor 650,2024,"Aurangabad, Maharashtra",411000,Yes
Jawa 42 Bobber Black Mirror,2025,"Koramangala, Bangalore, Karnataka",240000,Yes
TVS iQube Electric,2023,"Rajkot, Gujarat",90000,Yes
Hero Passion Plus 2023,2024,"Jamshedpur, Jharkhand",76000,Yes
Hero Splendor,2012,"Rewari, Haryana",25000,Yes
Honda CBR 250R ABS,2012,"Bangalore, Karnataka",64000,Yes
Royal Enfield Interceptor 650 Twin,2019,"Secunderabad, Hyderabad, Telangana",225000,Yes
Suzuki V-Strom SX,2023,"Hyderabad, Telangana",210000,Yes
Suzuki Intruder 150,2017,"Ahmedabad, Gujarat",50000,Yes
TVS Apache RTR 160 4V Special Edition,2022,"BTM Layout, Bangalore, Karnataka",100000,Yes
Husqvarna Svartpilen 401 2024,2024,"Madurai, Tamil Nadu",300000,Yes
Honda Unicorn,2016,"Hyderabad, Telangana",30000,Yes
Bajaj Avenger,2015,"Bangalore, Karnataka",45000,Yes
Bajaj Dominar 400 ABS BS6,2022,"Bangalore, Karnataka",210000,Yes
TVS Jupiter,2015,"Bangalore, Karnataka",28000,Yes
Hero Xtreme 160R,2023,"Anand, Gujarat",85000,Yes
TVS Jupiter,2017,"Kolkata, West Bengal",40000,Yes
,,"Medchal-Malkajgiri, Telangana",30000,Yes
Honda Shine 100,2024,"Chembur, Mumbai, Maharashtra",55000,Yes
Royal Enfield Bullet 350,1998,"Chennai, Tamil Nadu",110000,Yes
Royal Enfield Thunderbird 350,2015,"Anna Nagar, Chennai, Tamil Nadu",75000,Yes
Hero CD 100,1999,"Vadodara, Gujarat",12000,Yes
TVS Raider iGO,2024,"Allahabad, Uttar Pradesh",80000,Yes
Ola S1 Pro,2022,"Kozhikode, Kerala",110000,Yes
Bajaj Avenger Cruise 220,2018,"Sholinganallur, Chennai, Tamil Nadu",60000,Yes
Royal Enfield Scram 411,2023,"Hyderabad, Telangana",195000,Yes
Royal Enfield Continental GT 535,2014,"Pimpri-Chinchwad, Pune, Maharashtra",70000,Yes
TVS Apache RTR 160 4V,2018,"Adra, Purulia, West Bengal",60000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2021,"Pune, Maharashtra",120000,Yes
Yamaha YZF R15 V2,2016,"Rewa, Madhya Pradesh",60000,Yes
Honda CB300F Flex-Fuel,2025,"Mumbai, Maharashtra",169000,Yes
Hero Splendor Plus,2017,"Karnal, Haryana",45000,Yes
,,"Bishnupur, Bankura, West Bengal",168000,Yes
Honda Activa,2013,"Whitefield, Bangalore, Karnataka",35000,Yes
Suzuki Gixxer 150,2016,"Whitefield, Bangalore, Karnataka",50000,Yes
Royal Enfield Hunter 350 Metro,2023,"Chikballapur, Karnataka",180000,Yes
Royal Enfield Classic 350 Dual Channel BS6,2021,"Mariahu, Jaunpur, Uttar Pradesh",150000,Yes
Hero Xtreme 160R 4V 2024,2025,"Sohna, Gurgaon, Haryana",120000,Yes
TVS Apache RTR 160,2023,"Bannerghatta Road, Bangalore, Karnataka",110000,Yes
TVS Apache RTR 180,2014,"Electronic City, Bangalore, Karnataka",27000,Yes
Ampere Reo Li,2018,"Bhuvanagiri, Cuddalore, Tamil Nadu",19000,Yes
